# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "12" "-p" "-O" "-Q" "5" "-t" "exon" "-g" "ID" "-a" "PlasmoDB-61_PfalciparumHB3.gff" "-o" "pipeline_output/counts/combined_counts.txt" "pipeline_output/bam/combined.bam" 
Geneid	Chr	Start	End	Strand	Length	pipeline_output/bam/combined.bam
exon_PfHB3_090025900-t41_1-E1	PfHB3_09	852616	852848	+	233	4
exon_PfHB3_090025900-t41_1-E2	PfHB3_09	853001	854228	+	1228	37
exon_PfHB3_040018800-t41_1-E1	PfHB3_04	567928	568527	-	600	80
exon_PfHB3_110036600-t41_1-E1	PfHB3_11	1198004	1201090	+	3087	905
exon_PfHB3_110036600-t41_1-E2	PfHB3_11	1201227	1201376	+	150	184
exon_PfHB3_140084200-t41_1-E1	PfHB3_14	3287158	3287439	+	282	1
exon_PfHB3_140084200-t41_1-E2	PfHB3_14	3287441	3287533	+	93	0
exon_PfHB3_140084200-t41_1-E3	PfHB3_14	3287536	3287769	+	234	0
exon_PfHB3_140084200-t41_1-E4	PfHB3_14	3287772	3288080	+	309	0
exon_PfHB3_140053100-t41_1-E6	PfHB3_14	1971391	1971530	-	140	4
exon_PfHB3_140053100-t41_1-E5	PfHB3_14	1971699	1971846	-	148	11
exon_PfHB3_140053100-t41_1-E4	PfHB3_14	1971953	1972013	-	61	14
exon_PfHB3_140053100-t41_1-E3	PfHB3_14	1972150	1972247	-	98	13
exon_PfHB3_140053100-t41_1-E2	PfHB3_14	1972347	1972415	-	69	11
exon_PfHB3_140053100-t41_1-E1	PfHB3_14	1972521	1972766	-	246	10
exon_PfHB3_080007200-t41_1-E2	PfHB3_08	125082	125235	-	154	23
exon_PfHB3_080007200-t41_1-E1	PfHB3_08	125371	132923	-	7553	248
exon_PfHB3_120028300-t41_1-E5	PfHB3_12	939723	939764	-	42	43
exon_PfHB3_120028300-t41_1-E4	PfHB3_12	939915	939994	-	80	93
exon_PfHB3_120028300-t41_1-E3	PfHB3_12	940277	940391	-	115	10
exon_PfHB3_120028300-t41_1-E2	PfHB3_12	940562	952318	-	11757	440
exon_PfHB3_120028300-t41_1-E1	PfHB3_12	952458	953756	-	1299	47
exon_PfHB3_050019500-t41_1-E6	PfHB3_05	616521	616593	-	73	0
exon_PfHB3_050019500-t41_1-E5	PfHB3_05	616719	616812	-	94	0
exon_PfHB3_050019500-t41_1-E4	PfHB3_05	616978	617046	-	69	0
exon_PfHB3_050019500-t41_1-E3	PfHB3_05	617177	617219	-	43	0
exon_PfHB3_050019500-t41_1-E2	PfHB3_05	617327	617511	-	185	0
exon_PfHB3_050019500-t41_1-E1	PfHB3_05	617643	617826	-	184	0
exon_PfHB3_140013200-t41_1-E1	PfHB3_14	299594	300343	+	750	157
exon_PfHB3_140013200-t41_1-E2	PfHB3_14	300487	300573	+	87	83
exon_PfHB3_140013200-t41_1-E3	PfHB3_14	300754	300883	+	130	125
exon_PfHB3_140013200-t41_1-E4	PfHB3_14	301046	301187	+	142	189
exon_PfHB3_140013200-t41_1-E5	PfHB3_14	301300	302263	+	964	870
exon_PfHB3_130062700-t41_1-E2	PfHB3_13	2260183	2260520	-	338	73
exon_PfHB3_130062700-t41_1-E1	PfHB3_13	2260791	2260956	-	166	76
exon_PfHB3_130031700-t41_1-E1	PfHB3_13	1079544	1079948	+	405	2
exon_PfHB3_060027800-t41_1-E1	PfHB3_06	906737	908453	+	1717	421
exon_PfHB3_060027800-t41_1-E2	PfHB3_06	908598	908728	+	131	55
exon_PfHB3_120038200-t41_1-E1	PfHB3_12	1376909	1393009	+	16101	1728
exon_PfHB3_120038200-t41_1-E2	PfHB3_12	1393111	1393267	+	157	60
exon_PfHB3_120038200-t41_1-E3	PfHB3_12	1393359	1393396	+	38	14
exon_PfHB3_060016600-t41_1-E1	PfHB3_06	475974	476330	+	357	2
exon_PfHB3_020015700-t41_1-E1	PfHB3_02	432084	432791	-	708	17
exon_PfHB3_140075600-t41_1-E4	PfHB3_14	2901387	2901443	-	57	2
exon_PfHB3_140075600-t41_1-E3	PfHB3_14	2901578	2901640	-	63	1
exon_PfHB3_140075600-t41_1-E2	PfHB3_14	2901801	2901931	-	131	4
exon_PfHB3_140075600-t41_1-E1	PfHB3_14	2902369	2902456	-	88	3
exon_PfHB3_080023100-t41_1-E2	PfHB3_08	813219	816007	-	2789	769
exon_PfHB3_080023100-t41_1-E1	PfHB3_08	816251	816362	-	112	24
exon_PfHB3_070011800-t41_1-E1	PfHB3_07	334612	334980	+	369	10
exon_PfHB3_070011800-t41_1-E2	PfHB3_07	334982	338031	+	3050	79
exon_PfHB3_070011800-t41_1-E3	PfHB3_07	338181	338240	+	60	20
exon_PfHB3_070011800-t41_1-E4	PfHB3_07	338337	338409	+	73	16
exon_PfHB3_070026900-t41_1-E1	PfHB3_07	923464	927216	+	3753	113
exon_PfHB3_070026900-t41_1-E2	PfHB3_07	927219	929837	+	2619	62
exon_PfHB3_070026900-t41_1-E3	PfHB3_07	930103	930267	+	165	7
exon_PfHB3_070026900-t41_1-E4	PfHB3_07	930395	930463	+	69	4
exon_PfHB3_070026900-t41_1-E5	PfHB3_07	930573	930722	+	150	6
exon_PfHB3_130050200-t41_1-E1	PfHB3_13	1785058	1786992	+	1935	172
exon_PfHB3_060008000-t41_1-E1	PfHB3_06	116026	117153	-	1128	0
exon_PfHB3_120045000-t41_1-E1	PfHB3_12	1684831	1692387	+	7557	90
exon_PfHB3_120045000-t41_1-E2	PfHB3_12	1693205	1694581	+	1377	25
exon_PfHB3_120045300-t41_1-E2	PfHB3_12	1706721	1707911	-	1191	11
exon_PfHB3_120045300-t41_1-E1	PfHB3_12	1708772	1717855	-	9084	39
exon_PfHB3_090023900-t41_1-E1	PfHB3_09	774414	774528	+	115	9
exon_PfHB3_090023900-t41_1-E2	PfHB3_09	774693	774838	+	146	9
exon_PfHB3_090023900-t41_1-E3	PfHB3_09	774992	775354	+	363	33
exon_PfHB3_100036700-t41_1-E7	PfHB3_10	1255748	1255845	-	98	16
exon_PfHB3_100036700-t41_1-E6	PfHB3_10	1256015	1256056	-	42	14
exon_PfHB3_100036700-t41_1-E5	PfHB3_10	1256139	1256226	-	88	16
exon_PfHB3_100036700-t41_1-E4	PfHB3_10	1256358	1256399	-	42	10
exon_PfHB3_100036700-t41_1-E3	PfHB3_10	1256613	1257362	-	750	58
exon_PfHB3_100036700-t41_1-E2	PfHB3_10	1257496	1257692	-	197	29
exon_PfHB3_100036700-t41_1-E1	PfHB3_10	1257904	1258075	-	172	15
exon_PfHB3_140077400-t41_1-E2	PfHB3_14	2966129	2970397	-	4269	171
exon_PfHB3_140077400-t41_1-E1	PfHB3_14	2970631	2972724	-	2094	69
exon_PfHB3_030018400-t41_1-E1	PfHB3_03	518259	519035	+	777	257
exon_PfHB3_030006900-t41_1-E1	PfHB3_03	94028	98359	-	4332	58
exon_PfHB3_130063000-t41_1-E1	PfHB3_13	2270906	2271143	+	238	2
exon_PfHB3_130063000-t41_1-E2	PfHB3_13	2271274	2271623	+	350	0
exon_PfHB3_130029000-t41_1-E2	PfHB3_13	985159	985200	-	42	0
exon_PfHB3_130029000-t41_1-E1	PfHB3_13	985203	986717	-	1515	44
exon_PfHB3_040018500-t41_1-E8	PfHB3_04	559558	559771	-	214	6
exon_PfHB3_040018500-t41_1-E7	PfHB3_04	559896	559969	-	74	0
exon_PfHB3_040018500-t41_1-E6	PfHB3_04	560088	560229	-	142	3
exon_PfHB3_040018500-t41_1-E5	PfHB3_04	560414	560541	-	128	2
exon_PfHB3_040018500-t41_1-E4	PfHB3_04	560681	560815	-	135	1
exon_PfHB3_040018500-t41_1-E3	PfHB3_04	560989	561086	-	98	1
exon_PfHB3_040018500-t41_1-E2	PfHB3_04	561197	561304	-	108	0
exon_PfHB3_040018500-t41_1-E1	PfHB3_04	561638	561830	-	193	0
exon_PfHB3_140079400-t41_1-E1	PfHB3_14	3044465	3050833	-	6369	39
exon_PfHB3_110049800-t41_1-E2	PfHB3_11	1764062	1772367	-	8306	31
exon_PfHB3_110049800-t41_1-E1	PfHB3_11	1772527	1773766	-	1240	3
exon_PfHB3_090029000-t41_1-E1	PfHB3_09	969810	970023	+	214	204
exon_PfHB3_090029000-t41_1-E2	PfHB3_09	970222	973733	+	3512	1234
exon_PfHB3_010019200-t41_1-E1	PfHB3_01	546628	546987	+	360	37
exon_PfHB3_010009800-t41_1-E2	PfHB3_01	194663	195798	-	1136	230
exon_PfHB3_010009800-t41_1-E1	PfHB3_01	196075	197437	-	1363	120
exon_PfHB3_040022500-t41_1-E6	PfHB3_04	735840	735878	-	39	14
exon_PfHB3_040022500-t41_1-E5	PfHB3_04	736105	736188	-	84	23
exon_PfHB3_040022500-t41_1-E4	PfHB3_04	736394	736576	-	183	35
exon_PfHB3_040022500-t41_1-E3	PfHB3_04	736794	736893	-	100	25
exon_PfHB3_040022500-t41_1-E2	PfHB3_04	736990	737087	-	98	20
exon_PfHB3_040022500-t41_1-E1	PfHB3_04	737253	737312	-	60	11
exon_PfHB3_030008500-t41_1-E3	PfHB3_03	155675	156969	-	1295	4
exon_PfHB3_030008500-t41_1-E2	PfHB3_03	157091	157147	-	57	2
exon_PfHB3_030008500-t41_1-E1	PfHB3_03	157236	157296	-	61	1
exon_PfHB3_020020100-t41_1-E1	PfHB3_02	619851	621080	-	1230	152
exon_PfHB3_010007400-t41_1-E2	PfHB3_01	86117	86541	-	425	68
exon_PfHB3_010007400-t41_1-E1	PfHB3_01	86749	87628	-	880	109
exon_PfHB3_120031800-t41_1-E1	PfHB3_12	1084598	1085089	-	492	8
exon_PfHB3_130045200-t41_1-E1	PfHB3_13	1597696	1600491	-	2796	82
exon_PfHB3_040023400-t41_1-E1	PfHB3_04	763015	769227	+	6213	40
exon_PfHB3_040023400-t41_1-E2	PfHB3_04	769349	769705	+	357	16
exon_PfHB3_040023400-t41_1-E3	PfHB3_04	769906	770414	+	509	47
exon_PfHB3_040023400-t41_1-E4	PfHB3_04	770641	770962	+	322	12
exon_PfHB3_100033000-t41_1-E4	PfHB3_10	1130328	1130403	-	76	34
exon_PfHB3_100033000-t41_1-E3	PfHB3_10	1130592	1130777	-	186	67
exon_PfHB3_100033000-t41_1-E2	PfHB3_10	1130918	1131004	-	87	29
exon_PfHB3_100033000-t41_1-E1	PfHB3_10	1131514	1131680	-	167	12
exon_PfHB3_140055100-t41_1-E2	PfHB3_14	2053774	2053827	-	54	5
exon_PfHB3_140055100-t41_1-E1	PfHB3_14	2053938	2057741	-	3804	98
exon_PfHB3_130017900-t41_1-E1	PfHB3_13	525483	527324	+	1842	277
exon_PfHB3_020024400-t41_1-E1	PfHB3_02	768500	768709	+	210	56
exon_PfHB3_020024400-t41_1-E2	PfHB3_02	768907	769389	+	483	211
exon_PfHB3_140054000-t41_1-E1	PfHB3_14	2006136	2011028	-	4893	601
exon_PfHB3_140070900-t41_1-E1	PfHB3_14	2676435	2678332	+	1898	247
exon_PfHB3_140070900-t41_1-E2	PfHB3_14	2678506	2678758	+	253	61
exon_PfHB3_140070900-t41_1-E3	PfHB3_14	2678908	2679043	+	136	83
exon_PfHB3_140070900-t41_1-E4	PfHB3_14	2679155	2679229	+	75	60
exon_PfHB3_140070900-t41_1-E5	PfHB3_14	2679324	2679382	+	59	54
exon_PfHB3_140070900-t41_1-E6	PfHB3_14	2679490	2679645	+	156	74
exon_PfHB3_140072600-t41_1-E1	PfHB3_14	2775819	2778389	+	2571	30
exon_PfHB3_140072600-t41_1-E2	PfHB3_14	2778551	2778685	+	135	7
exon_PfHB3_140084600-t41_1-E1	PfHB3_14	3297371	3297493	+	123	0
exon_PfHB3_140084600-t41_1-E2	PfHB3_14	3297605	3298030	+	426	1
exon_PfHB3_140084600-t41_1-E3	PfHB3_14	3298032	3298322	+	291	0
exon_PfHB3_110015400-t41_1-E1	PfHB3_11	385202	386269	+	1068	12
exon_PfHB3_140067500-t41_1-E1	PfHB3_14	2537610	2545778	+	8169	106
exon_PfHB3_140067500-t41_1-E2	PfHB3_14	2545916	2545978	+	63	10
exon_PfHB3_140046200-t41_1-E1	PfHB3_14	1688268	1689929	+	1662	45
exon_PfHB3_050005800-t41_1-E2	PfHB3_05	45828	46700	-	873	2
exon_PfHB3_050005800-t41_1-E1	PfHB3_05	46881	46949	-	69	0
exon_PfHB3_040017700-t41_1-E1	PfHB3_04	524426	525442	-	1017	129
exon_PfHB3_110026500-t41_1-E1	PfHB3_11	836512	838629	+	2118	239
exon_PfHB3_140047200-t41_1-E4	PfHB3_14	1727398	1727470	-	73	34
exon_PfHB3_140047200-t41_1-E3	PfHB3_14	1727579	1727712	-	134	39
exon_PfHB3_140047200-t41_1-E2	PfHB3_14	1727887	1729043	-	1157	74
exon_PfHB3_140047200-t41_1-E1	PfHB3_14	1729356	1729449	-	94	6
exon_PfHB3_070024900-t41_1-E1	PfHB3_07	868486	868636	+	151	192
exon_PfHB3_070024900-t41_1-E2	PfHB3_07	868772	868834	+	63	221
exon_PfHB3_070024900-t41_1-E3	PfHB3_07	868992	869098	+	107	189
exon_PfHB3_130049900-t41_1-E1	PfHB3_13	1750895	1752676	-	1782	27
exon_PfHB3_060025900:tRNA-t41_1-E1	PfHB3_06	833593	833677	-	85	3
exon_PfHB3_140075400-t41_1-E3	PfHB3_14	2898056	2898538	-	483	46
exon_PfHB3_140075400-t41_1-E2	PfHB3_14	2898720	2898794	-	75	26
exon_PfHB3_140075400-t41_1-E1	PfHB3_14	2899202	2899291	-	90	12
exon_PfHB3_060018700-t41_1-E1	PfHB3_06	559864	560631	+	768	140
exon_PfHB3_030012900-t41_1-E5	PfHB3_03	318737	318801	-	65	1
exon_PfHB3_030012900-t41_1-E4	PfHB3_03	318926	319009	-	84	3
exon_PfHB3_030012900-t41_1-E3	PfHB3_03	319205	319337	-	133	2
exon_PfHB3_030012900-t41_1-E2	PfHB3_03	319538	319617	-	80	1
exon_PfHB3_030012900-t41_1-E1	PfHB3_03	319783	319957	-	175	1
exon_PfHB3_090006300-t41_1-E1	PfHB3_09	54209	54262	+	54	0
exon_PfHB3_090006300-t41_1-E2	PfHB3_09	54492	55484	+	993	1
exon_PfHB3_040023700-t41_1-E1	PfHB3_04	778132	779109	+	978	113
exon_PfHB3_070033100-t41_1-E1	PfHB3_07	1226793	1230818	+	4026	4293
exon_PfHB3_110008300-t41_1-E1	PfHB3_11	136143	136454	-	312	1629
exon_PfHB3_080005900-t41_1-E10	PfHB3_08	38766	41963	-	3198	7
exon_PfHB3_080005900-t41_1-E9	PfHB3_08	41966	42094	-	129	1
exon_PfHB3_080005900-t41_1-E8	PfHB3_08	42096	42149	-	54	0
exon_PfHB3_080005900-t41_1-E7	PfHB3_08	42151	42357	-	207	2
exon_PfHB3_080005900-t41_1-E6	PfHB3_08	42359	42370	-	12	0
exon_PfHB3_080005900-t41_1-E5	PfHB3_08	42372	42416	-	45	0
exon_PfHB3_080005900-t41_1-E4	PfHB3_08	42418	42477	-	60	0
exon_PfHB3_080005900-t41_1-E3	PfHB3_08	42479	42691	-	213	0
exon_PfHB3_080005900-t41_1-E2	PfHB3_08	42693	43904	-	1212	5
exon_PfHB3_080005900-t41_1-E1	PfHB3_08	44065	44856	-	792	1
exon_PfHB3_110011900-t41_1-E1	PfHB3_11	281663	281704	+	42	2
exon_PfHB3_110011900-t41_1-E2	PfHB3_11	281952	282032	+	81	19
exon_PfHB3_110011900-t41_1-E3	PfHB3_11	282308	283168	+	861	125
exon_PfHB3_100031200-t41_1-E1	PfHB3_10	1076620	1076682	+	63	1176
exon_PfHB3_100031200-t41_1-E2	PfHB3_10	1076973	1077701	+	729	4273
exon_PfHB3_040014500-t41_1-E1	PfHB3_04	398391	399407	+	1017	155
exon_PfHB3_110030700-t41_1-E1	PfHB3_11	983821	984702	-	882	79
exon_PfHB3_100027000-t41_1-E1	PfHB3_10	898231	899922	-	1692	128
exon_PfHB3_140082000-t41_1-E1	PfHB3_14	3184567	3185682	+	1116	90
exon_PfHB3_130020800-t41_1-E2	PfHB3_13	652457	652668	-	212	5
exon_PfHB3_130020800-t41_1-E1	PfHB3_13	652790	652946	-	157	5
exon_PfHB3_130027600-t41_1-E1	PfHB3_13	904647	904670	+	24	23
exon_PfHB3_130027600-t41_1-E2	PfHB3_13	904836	904931	+	96	80
exon_PfHB3_130027600-t41_1-E3	PfHB3_13	905112	905228	+	117	61
exon_PfHB3_000006800-t41_1-E2	PfHB3_00_1	58780	59332	-	553	0
exon_PfHB3_000006800-t41_1-E1	PfHB3_00_1	59397	59422	-	26	0
exon_PfHB3_050025400-t41_1-E1	PfHB3_05	851596	852501	-	906	44
exon_PfHB3_120038900-t41_1-E2	PfHB3_12	1424862	1425768	-	907	29
exon_PfHB3_120038900-t41_1-E1	PfHB3_12	1426065	1427032	-	968	10
exon_PfHB3_140050200-t41_1-E2	PfHB3_14	1867461	1872024	-	4564	576
exon_PfHB3_140050200-t41_1-E1	PfHB3_14	1872164	1872267	-	104	29
exon_PfHB3_120022000-t41_1-E1	PfHB3_12	663739	666579	+	2841	5251
exon_PfHB3_130035600-t41_1-E2	PfHB3_13	1265942	1266480	-	539	18
exon_PfHB3_130035600-t41_1-E1	PfHB3_13	1266895	1267168	-	274	17
exon_PfHB3_110028600-t41_1-E4	PfHB3_11	909182	909507	-	326	75
exon_PfHB3_110028600-t41_1-E3	PfHB3_11	909666	909923	-	258	32
exon_PfHB3_110028600-t41_1-E2	PfHB3_11	910077	910148	-	72	10
exon_PfHB3_110028600-t41_1-E1	PfHB3_11	910258	910318	-	61	7
exon_PfHB3_050014300-t41_1-E2	PfHB3_05	399907	400158	-	252	126
exon_PfHB3_050014300-t41_1-E1	PfHB3_05	400325	400420	-	96	21
exon_PfHB3_060028000-t41_1-E1	PfHB3_06	913707	920948	-	7242	6483
exon_PfHB3_010010100-t41_1-E1	PfHB3_01	206079	207230	-	1152	99
exon_PfHB3_020008700-t41_1-E1	PfHB3_02	153383	155104	+	1722	20
exon_PfHB3_130046500-t41_1-E1	PfHB3_13	1634958	1635134	-	177	1
exon_PfHB3_080008100-t41_1-E1	PfHB3_08	169763	171793	+	2031	470
exon_PfHB3_140076500-t41_1-E1	PfHB3_14	2935018	2936421	+	1404	163
exon_PfHB3_090038700-t41_1-E1	PfHB3_09	1314716	1316923	+	2208	18
exon_PfHB3_030016800-t41_1-E2	PfHB3_03	469193	469251	-	59	28
exon_PfHB3_030016800-t41_1-E1	PfHB3_03	469383	470340	-	958	319
exon_PfHB3_140081300-t41_1-E1	PfHB3_14	3156964	3159336	+	2373	1
exon_PfHB3_130028400-t41_1-E1	PfHB3_13	945605	946951	+	1347	69
exon_PfHB3_130028400-t41_1-E2	PfHB3_13	947163	947320	+	158	14
exon_PfHB3_130028400-t41_1-E3	PfHB3_13	947498	947573	+	76	13
exon_PfHB3_130028400-t41_1-E4	PfHB3_13	947745	947861	+	117	24
exon_PfHB3_090019700-t41_1-E1	PfHB3_09	620728	622329	-	1602	87
exon_PfHB3_120012400-t41_1-E1	PfHB3_12	322851	330971	-	8121	13
exon_PfHB3_040015200-t41_1-E1	PfHB3_04	428079	428696	-	618	10
exon_PfHB3_060008700-t41_1-E1	PfHB3_06	153803	156162	+	2360	17
exon_PfHB3_060008700-t41_1-E2	PfHB3_06	156540	159318	+	2779	27
exon_PfHB3_110013900-t41_1-E1	PfHB3_11	342853	342889	+	37	8
exon_PfHB3_110013900-t41_1-E2	PfHB3_11	343072	344006	+	935	66
exon_PfHB3_110013900-t41_1-E3	PfHB3_11	344223	344426	+	204	16
exon_PfHB3_110013900-t41_1-E4	PfHB3_11	344552	344572	+	21	3
exon_PfHB3_040019900-t41_1-E2	PfHB3_04	602545	603070	-	526	2958
exon_PfHB3_040019900-t41_1-E1	PfHB3_04	603302	603393	-	92	666
exon_PfHB3_030024600-t41_1-E1	PfHB3_03	797095	797131	+	37	29
exon_PfHB3_030024600-t41_1-E2	PfHB3_03	797250	797314	+	65	39
exon_PfHB3_030024600-t41_1-E3	PfHB3_03	797476	797557	+	82	37
exon_PfHB3_030024600-t41_1-E4	PfHB3_03	797682	797743	+	62	30
exon_PfHB3_030024600-t41_1-E5	PfHB3_03	797835	797921	+	87	22
exon_PfHB3_030024600-t41_1-E6	PfHB3_03	798028	798085	+	58	26
exon_PfHB3_030024600-t41_1-E7	PfHB3_03	798216	798282	+	67	37
exon_PfHB3_030024600-t41_1-E8	PfHB3_03	798402	798483	+	82	37
exon_PfHB3_050014100-t41_1-E1	PfHB3_05	392396	397510	+	5115	368
exon_PfHB3_110048100-t41_1-E6	PfHB3_11	1700188	1700658	-	471	8
exon_PfHB3_110048100-t41_1-E5	PfHB3_11	1700751	1700995	-	245	10
exon_PfHB3_110048100-t41_1-E4	PfHB3_11	1701130	1701271	-	142	2
exon_PfHB3_110048100-t41_1-E3	PfHB3_11	1701393	1701457	-	65	3
exon_PfHB3_110048100-t41_1-E2	PfHB3_11	1701556	1701626	-	71	2
exon_PfHB3_110048100-t41_1-E1	PfHB3_11	1701787	1702403	-	617	17
exon_PfHB3_040008600-t41_1-E1	PfHB3_04	161270	162409	-	1140	47
exon_PfHB3_080005000-t41_1-E1	PfHB3_08	1790	3115	+	1326	0
exon_PfHB3_130068900-t41_1-E1	PfHB3_13	2536054	2537002	+	949	7
exon_PfHB3_130068900-t41_1-E2	PfHB3_13	2537133	2538325	+	1193	9
exon_PfHB3_020014900-t41_1-E2	PfHB3_02	399558	400499	-	942	25
exon_PfHB3_020014900-t41_1-E1	PfHB3_02	400708	401139	-	432	11
exon_PfHB3_030017400-t41_1-E6	PfHB3_03	483644	484419	-	776	68
exon_PfHB3_030017400-t41_1-E5	PfHB3_03	484518	484977	-	460	22
exon_PfHB3_030017400-t41_1-E4	PfHB3_03	485224	485333	-	110	6
exon_PfHB3_030017400-t41_1-E3	PfHB3_03	485461	485524	-	64	5
exon_PfHB3_030017400-t41_1-E2	PfHB3_03	485689	485890	-	202	14
exon_PfHB3_030017400-t41_1-E1	PfHB3_03	486105	486298	-	194	10
exon_PfHB3_030012400-t41_1-E1	PfHB3_03	304174	305772	+	1599	375
exon_PfHB3_060032000-t41_1-E1	PfHB3_06	1064247	1067234	-	2988	347
exon_PfHB3_140030200-t41_1-E1	PfHB3_14	1011974	1011976	+	3	124
exon_PfHB3_140030200-t41_1-E2	PfHB3_14	1012279	1012590	+	312	1985
exon_PfHB3_140030200-t41_1-E3	PfHB3_14	1012720	1013256	+	537	3066
exon_PfHB3_040017600-t41_1-E2	PfHB3_04	521551	522639	-	1089	694
exon_PfHB3_040017600-t41_1-E1	PfHB3_04	522900	522989	-	90	99
exon_PfHB3_140017800-t41_1-E1	PfHB3_14	515388	516371	+	984	339
exon_PfHB3_140058600-t41_1-E1	PfHB3_14	2205276	2205962	-	687	27
exon_PfHB3_140007000-t41_1-E1	PfHB3_14	82275	82343	+	69	1
exon_PfHB3_140007000-t41_1-E2	PfHB3_14	82459	83184	+	726	54
exon_PfHB3_070015200-t41_1-E1	PfHB3_07	468528	471536	+	3009	15
exon_PfHB3_120014300-t41_1-E1	PfHB3_12	416791	419340	-	2550	23
exon_PfHB3_010006500-t41_1-E1	PfHB3_01	49949	50020	+	72	2
exon_PfHB3_010006500-t41_1-E2	PfHB3_01	50173	50454	+	282	64
exon_PfHB3_130025400-t41_1-E1	PfHB3_13	815287	818169	+	2883	14
exon_PfHB3_110021100-t41_1-E2	PfHB3_11	598235	598459	-	225	39
exon_PfHB3_110021100-t41_1-E1	PfHB3_11	598606	598983	-	378	35
exon_PfHB3_110030900-t41_1-E1	PfHB3_11	987351	987505	+	155	11
exon_PfHB3_110030900-t41_1-E2	PfHB3_11	987672	987774	+	103	22
exon_PfHB3_110030900-t41_1-E3	PfHB3_11	987894	987967	+	74	14
exon_PfHB3_110030900-t41_1-E4	PfHB3_11	988072	988158	+	87	17
exon_PfHB3_110030900-t41_1-E5	PfHB3_11	988347	988437	+	91	25
exon_PfHB3_110030900-t41_1-E6	PfHB3_11	988570	988635	+	66	20
exon_PfHB3_110030900-t41_1-E7	PfHB3_11	988746	988832	+	87	17
exon_PfHB3_110030900-t41_1-E8	PfHB3_11	988942	989035	+	94	8
exon_PfHB3_110030900-t41_1-E9	PfHB3_11	989121	989202	+	82	13
exon_PfHB3_110030900-t41_1-E10	PfHB3_11	989334	989391	+	58	15
exon_PfHB3_110030900-t41_1-E11	PfHB3_11	989508	989576	+	69	12
exon_PfHB3_110030900-t41_1-E12	PfHB3_11	989721	989772	+	52	5
exon_PfHB3_110030900-t41_1-E13	PfHB3_11	989870	989927	+	58	3
exon_PfHB3_110030900-t41_1-E14	PfHB3_11	990083	990182	+	100	1
exon_PfHB3_110030900-t41_1-E15	PfHB3_11	990307	990405	+	99	0
exon_PfHB3_090010400-t41_1-E12	PfHB3_09	265225	265339	-	115	9
exon_PfHB3_090010400-t41_1-E11	PfHB3_09	265484	265543	-	60	20
exon_PfHB3_090010400-t41_1-E10	PfHB3_09	265654	265706	-	53	18
exon_PfHB3_090010400-t41_1-E9	PfHB3_09	265822	265893	-	72	15
exon_PfHB3_090010400-t41_1-E8	PfHB3_09	266008	266096	-	89	5
exon_PfHB3_090010400-t41_1-E7	PfHB3_09	266237	266297	-	61	6
exon_PfHB3_090010400-t41_1-E6	PfHB3_09	266439	266528	-	90	17
exon_PfHB3_090010400-t41_1-E5	PfHB3_09	266645	266682	-	38	16
exon_PfHB3_090010400-t41_1-E4	PfHB3_09	266849	266918	-	70	24
exon_PfHB3_090010400-t41_1-E3	PfHB3_09	267014	267134	-	121	28
exon_PfHB3_090010400-t41_1-E2	PfHB3_09	267290	267359	-	70	14
exon_PfHB3_090010400-t41_1-E1	PfHB3_09	267577	267679	-	103	9
exon_PfHB3_080033700-t41_1-E1	PfHB3_08	1232887	1234545	-	1659	253
exon_PfHB3_060035000-t41_1-E1	PfHB3_06	1237711	1237806	+	96	0
exon_PfHB3_060035000-t41_1-E2	PfHB3_06	1237918	1237983	+	66	0
exon_PfHB3_060035000-t41_1-E3	PfHB3_06	1238177	1238248	+	72	1
exon_PfHB3_060035000-t41_1-E4	PfHB3_06	1238346	1238431	+	86	0
exon_PfHB3_060035000-t41_1-E5	PfHB3_06	1238628	1238790	+	163	3
exon_PfHB3_060035000-t41_1-E6	PfHB3_06	1238930	1239095	+	166	6
exon_PfHB3_060035000-t41_1-E7	PfHB3_06	1239208	1239250	+	43	2
exon_PfHB3_060035000-t41_1-E8	PfHB3_06	1239379	1239540	+	162	11
exon_PfHB3_060035000-t41_1-E9	PfHB3_06	1239646	1239751	+	106	10
exon_PfHB3_060035000-t41_1-E10	PfHB3_06	1239933	1240016	+	84	9
exon_PfHB3_060035000-t41_1-E11	PfHB3_06	1240172	1240303	+	132	5
exon_PfHB3_140031300-t41_1-E1	PfHB3_14	1029186	1034585	-	5400	8
exon_PfHB3_080036600-t41_1-E1	PfHB3_08	1365645	1365839	+	195	406
exon_PfHB3_080036600-t41_1-E2	PfHB3_08	1366048	1366860	+	813	2287
exon_PfHB3_080032600-t41_1-E1	PfHB3_08	1189202	1192195	+	2994	9
exon_PfHB3_110013500-t41_1-E4	PfHB3_11	324664	325149	-	486	453
exon_PfHB3_110013500-t41_1-E3	PfHB3_11	325289	325361	-	73	153
exon_PfHB3_110013500-t41_1-E2	PfHB3_11	325520	325586	-	67	79
exon_PfHB3_110013500-t41_1-E1	PfHB3_11	325778	325817	-	40	52
exon_PfHB3_120012200-t41_1-E3	PfHB3_12	307109	314095	-	6987	566
exon_PfHB3_120012200-t41_1-E2	PfHB3_12	314194	314246	-	53	11
exon_PfHB3_120012200-t41_1-E1	PfHB3_12	314350	315142	-	793	25
exon_PfHB3_110007000-t41_1-E1	PfHB3_11	74350	75087	+	738	313
